NFL DRAFT 2020-2024 DEFENSIVE END SENIOR YEAR OF HIGH SCHOOL STATISTICS,,,,,,,,,,,,,,,,,,
YEAR,PICK,ROUND,PICK #,PLAYER,NAME,TEAM,SCHOOL,GP,SOLO,ASST,TKLS,T/G,TFL,GP,SACKS,YDL,S/G,HURS
,20,6,2,179,Karl Brooks,Packers,Bowling Green,,,,,,,,,,,
,21,6,12,189,Ochaun Mathis,Rams,Nebraska,11,37,38,75,6.8,13,11,7,37,0.6, 
,22,7,16,233,Andre Jones,Commanders,Louisiana-Lafayette,9,55, ,79,8.8, ,,,,,
,23,7,23,240,Derek Parish,Jaguars,Houston,,,,,,,,,,,
2020 - 2024 AVERAGES,,,,,,,,10.75,40.14,36.17,70.30,6.77,16.60,10.38,7.05,35.14,0.57,14.75
,,,,,,,,,,,,,,,,,,
2022,1,1,1,1,Travon Walker,Jaguars,Georgia,,,,,,,,,,,
,2,1,2,2,Aidan Hutchinson,Lions,Michigan,,,,65,,27,,4,,,
,3,1,5,5,Kayvon Thibodeaux,Giants,Oregon,12,49,5,54,4.5,19,12,18, ,1.5,13
,4,1,26,26,Jermaine Johnson,Jets,Florida State,,,,,,,,,,,
,5,1,30,30,George Karlaftis,Chiefs,Purdue,15,63,43,106,7.1,56,15,17.5,123,1.2,10
,6,2,14,46,Josh Paschal,Lions,Kentucky,10,34,30,64,6.4,9,10,5.5,28,0.6,4
,7,2,24,56,Sam Williams,Cowboys,Mississippi,,,,,,,,,,,
,8,3,14,78,Alex Wright,Browns,Alabama-Birmingham,,,,,,,,,,,
,9,3,23,87,Cameron Thomas,Cardinals,San Diego State,9,28,11,39,4.3,4,9,3,14,0.3, 
,10,3,36,100,Myjai Sanders,Cardinals,Cincinnati,10,21,16,37,3.7,5,10,3,15,0.3,7
,11,4,11,116,Eyioma Uwazurike,Broncos,Iowa State,,,,,,,,,,,
,12,4,12,117,Micheal Clemons,Jets,Texas A&M,,,,,,,,,,,
,13,5,22,165,Esezi Otomewo,Vikings,Minnesota,13,41,28,69,5.3,8,13,8,61,0.6, 
,14,5,31,174,Dominique Robinson,Bears,Miami (OH),,,,,,,,,,,
,15,5,36,179,Kingsley Enagbare,Packers,South Carolina,,,,,,,,,,,
,16,6,10,189,Amare Barno,Panthers,Virginia Tech,9,41,25,66,7.3,8,9,2,13,0.2, 
,17,7,2,223,Isaiah Thomas,Browns,Oklahoma,,,,,,,,,,,
,18,7,14,235,Daniel Hardy,Rams,Montana State,,,,,,,,,,,
,19,7,27,248,Andre Anthony,Buccaneers,Louisiana State,,,,56,,,,8,,,
2020 - 2024 AVERAGES,,,,,,,,11.14,39.57,22.57,61.78,5.51,17.00,11.14,7.67,42.33,0.67,8.50
,,,,,,,,,,,,,,,,,,
2021,1,1,18,18,Jaelan Phillips,Dolphins,Miami (FL),11,81,61,142,12.9,11,11,21,26,1.9,33
