NFL DRAFT 2020-2025 SAFETY HIGH SCHOOL COMBINE DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEAR,PICK,ROUND,PICK #,PLAYER,NAME,TEAM,SCHOOL,HT,WT,WING,HAND,40,SHUT,3 CONE,VERT,BROAD,100M,110HH,200M,300IH,400M,400R,SHOT,DISCUS,JAVELIN,HJ,LJ,TJ
,6,3,32,95,Jordan Battle,Cincinnati Bengals,Alabama,73,187,,,4.61,4.2,,34,,,,22.21,,51.4,42.68,,,,,,
,7,4,17,119,Chamarri Conner,Kansas City Chiefs,Virginia Tech,72,193,,,4.7,4.38,,37.4,,11.51,,,,,45.51,,,,5.83,19.83,38.92
,8,4,32,134,Jay Ward,Minnesota Vikings,LSU,,,,,,,,,,11.54,,,,,43.47,,,,6.33,20.75,45.58
,9,5,10,145,Jammie Robinson,Carolina Panthers,FSU,,,,,,,,,,11.42,,,,,44.49,,,,,18.08,
,10,5,11,146,Jordan Howden,New Orleans Saints,Minnesota,,,,,,,,,,11.21,,22.99,,,42.7,,,,,21.5,
,11,5,23,158,Daniel Scott,Indianappolis Colts,California,,,,,,,,,,,,,,53.57,,,,,,,
,12,5,35,170,Chris Smith,Las Vegas Raiders,Georgia,,,,,4.69,4.2,,33.4,,,,,,,,,,,,,
,13,6,6,183,JL Skinner,Denver Broncos,Boise State,,,,,,,,,,11.3,,23.14,,,43.37,,,,,,
,14,7,7,224,Demarcco Hellams,Atlanta Falcons,Alabama,,,,,,4.15,,34,,11.98,,24.38,,,,,,,,18.42,
,15,7,17,234,Jason Taylor,Los Angeles Rams,Oklahoma State,,,,,,,,,,11.83,,23.29,,,42.6,,,,6.08,,
,16,7,25,242,Anthony Johnson,Green Bay Packers,Iowa State,,,,,4.8,4.53,,29.3,,11.19,,22.53,,49.22,42.45,,,,,21.75,
,17,7,31,248,Brandon Hill,Houston Texans,Pittsburg,,,,,4.58,4.51,,35.6,,11.42,17.13,,45.55,,,,,,5,20.5,
,18,7,37,254,Gervarrius Owens,New York Giants,Houston,,,,,,,,,,11.32,18.09,22.25,,,43.05,,,,,,
,19,7,40,258,Kendall Williamson,Bears,Stanford,,,,,,,,,,,,,,,,,,,,,
2023 AVERAGE,,,,,,,,72.50,190.00,,,4.68,4.33,,33.95,,11.44,17.61,22.98,45.55,52.15,43.30,32.50,92.92,,5.80,20.17,42.39
2022,1,1,14,14,Kyle Hamilton,Baltimore Ravens,Notre Dame,,,,,4.63,4.44,,40,,,,,,,,,,,,,
,2,1,31,31,Daxton Hill,Cincinnati Bengals,Michigan,,,,,,,,,,11.7,16.35,,,,46.12,,,,,,
,3,1,32,32,Lewis Cine,Minnesota Vikings,Georgia,,,,,,,,,,,,,,,,37,85.58,,,,
,4,2,5,37,Jalen Pitre,Houston Texans,Baylor,,,,,,,,,,,,,,,,,,,,,
,5,2,16,48,Jaquan Brisker,Chicago Bears,Penn State,,,,,,,,,,,,24.96,,51.58,42.83,,,,6.17,18.17,
