NFL DRAFT 2022-2025 RUNNING BACK HIGH SCHOOL COMBINE DATA,,,,,,,,,,,,,,,,,,,,,,,
,PICK,ROUND,PICK #,PLAYER,NAME,TEAM,SCHOOL,HT,WT,WING,HAND,40,SHUT,3 CONE,VERT,BROAD,100M,200M,400M,SHOT,HJ,LJ,TJ
,6,3,21,84,De'Von Achane,Dolphins,Texas A&M,,,,,,,,,,10.53,20.46,,,,20.17,
,7,3,25,88,Tank Bigsby,Jaguars,Auburn,72,205,,,4.55,4.34,,34.9,,11.15,,56.16,,,20.25,
,8,4,13,115,Roschon Johnson,Bears,Texas,,,,,4.81,4.29,,33.6,,,,53.79,,,18.33,
,9,5,8,143,Israel Abanikanda,Jets,Pittsburgh,70,183,,,4.5,4.31,,39.1,,10.69,22.94,,,,,
,10,5,28,163,Chase Brown,Bengals,Illinois,,,,,4.62,4.49,,32.7,,10.88,22.1,53.54,,,19.33,41.25
,11,5,37,172,Eric Gray,Giants,Oklahoma,,,,,4.57,4.14,,35.1,,11.25,23.29,,,,,
,12,5,41,176,Evan Hull,Colts,Northwestern,,,,,,4.15,,35.3,,10.72,21.85,,,,18.67,
,13,6,16,193,Chris Rodriguez,Commanders,Kentucky,72,200,,,4.9,4.26,,33.5,,11.29,,54.46,43.83,,,
,14,6,35,212,Deuce Vaughn,Cowboys,Kansas State,,,,,,,,,,11.2,23.62,,,,21.75,
,15,6,38,215,Zach Evans,Rams,Mississippi,72,200,,,4.51,3.84,,37.2,,11.39,,56.03,,,17.42,43.25
,16,7,5,222,DeWayne McBride,Vikings,Alabama-Birmingham,,,,,,,,,,,,,44.17,,,
,17,7,18,235,Lew Nichols,Packers,Central Michigan,,,,,4.82,4.42,,31.2,,12.4,25.82,,,,,
,18,7,20,237,Kenny McIntosh,Seahawks,Georgia,73,216,,,4.88,4.7,,33.1,,,,,,,,
2023 AVERAGE,,,,,,,,71.25,195.63,74.75,9.00,4.68,4.34,6.90,34.23,114.00,11.20,22.80,53.94,44.00,6.17,19.33,42.42
,,,,,,,,,,,,,,,,,,,,,,,
