NFL DRAFT 2020-2025 QUARTERBACK SENIOR YEAR OF HIGH SCHOOL STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PICK,ROUND,PICK #,PLAYER,NAME,TEAM,SCHOOL,GP,C,Att,Yds,C%,Avg,Y/G,C/G,TD,TD/G,Int,Lng,QBR,GP,Car,Yds,Avg,Y/G,Lng,100+,TD
,10,5,5,140,Dorian Thompson-Robinson,Browns,UCLA,15,176,256,3275,0.688,18.6,218.3,11.7,38,2.5,3,88,146.2,15,93,426,4.6,28.4,44,1,7
,11,5,14,149,Sean Clifford,Packers,Penn State,11,123,219,1426,0.562,11.6,129.6,11.2,9,0.8,3,44,84,11,153,560,3.7,50.9,41,0,12
,12,5,29,164,Jaren Hall,Vikings,Brigham Young,8,97,183,1336,0.53,13.8,167,12.1,13,1.6,8,,82.1,8,75,387,5.2,48.4,0,0,4
,13,6,11,188,Tanner McKee,Eagles,Stanford,10,116,184,2147,0.63,18.5,214.7,11.6,23,2.3,2,,138.3,10,59,675,11.4,67.5,0,1,11
,14,7,22,239,Max Duggan,Chargers,Texas Christian,,,,,,,,,,,,,,,,,,,,,
2023 AVERAGE,,,,,,,,11.38,173.15,274.23,2712.38,0.63,15.81,237.78,15.28,29.00,2.46,5.62,70.80,118.88,11.38,75.08,387.46,4.68,32.91,23.15,0.54,8.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,20,20,Kenny Pickett,Steelers,Pittsburgh,4,44,72,514,0.611,11.7,128.5,11,4,1,2,46,89.7,4,30,87,2.9,21.8,15,0,1
,2,3,10,74,Desmond Ridder,Falcons,Cincinnati,10,80,145,839,0.552,10.5,83.9,8,9,0.9,3,41,84.2,10,118,879,7.4,87.9,73,3,16
,3,3,22,86,Malik Willis,Titans,Liberty,14,184,304,2562,0.605,13.9,183,13.1,27,1.9,9,80,104.9,14,140,1033,7.4,73.8,72,3,10
