NFL DRAFT 2020-2025 DEFENSIVE END HIGH SCHOOL COMBINE DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEAR,PICK,ROUND,PICK #,PLAYER,NAME,TEAM,SCHOOL,HT,WT,WING,HAND,40,SHUT,3 CONE,VERT,BROAD,100M,110HH,200M,300IH,400M,400R,SHOT,DISCUS,JAVELIN,HJ,LJ,TJ
,25,7,23,243,Jowon Briggs,Browns,Cincinnati,,,,,5.35,4.47,,26.5,,,,,,,,49.08,157.25,,,,
,26,7,27,247,Marcus Harris,Auburn,Texans,,,,,,,,,,,,,,,,,,,,,
,27,7,32,252,Jaylen Harrell,Titans,Michigan,,,,,,,,,,,,,,,,,,,,,
2024 AVERAGE,,,,,,,,76.25,237.25,77.25,9.40,4.96,4.46,,29.57,,11.49,15.84,24.07,44.45,55.40,44.80,45.66,138.28,114.13,5.79,18.00,39.80
2023,1,1,7,7,Tyree Wilson,Raiders,Texas Tech,,,,,,,,,,,,,,,,,,,,,
,2,1,13,13,Lukas Van Ness,Packers,Iowa,,,,,4.95,4.59,,26,112,,,,,,,,,,,,
,3,1,15,15,Will McDonald,Jets,Iowa State,,,,,,,,,,11.41,15.53,24.33,,,44.14,49.75,179.75,,6.33,22.33,
,4,1,28,28,Myles Murphy,Bengals,Clemson,,,,,4.65,4.28,,34.1,,,,,,,,,,,,,
,5,1,31,31,Felix Anudike-Uzomah,Chiefs,Kansas State,,,,,,,,,,,,,,,,36,,140,,20.58,45.92
,6,2,6,37,Derrick Hall,Seahawks,Auburn,75,216,,,4.65,4.39,,33.6,,11.04,,22.49,42.51,,,,,,5.83,21.83,
,7,2,9,40,Isaiah Foskey,Saints,Notre Dame,,,,,4.82,4.5,,32,,11.94,,24.17,,,44.97,,,,,,
,8,2,10,41,BJ Olujari,Cardinals,LSU,75,222,,,4.86,4.44,,41.1,,,,,,,,,161.25,,6.33,,
,9,2,15,46,Keion White,Patriots,Georgia Tech,,,,,,,,,,,,,,,,38.58,,,,,
,10,2,23,54,Tuli Tuipulotu,Chargers,USC,75,266,76,10,,,,24.4,,,,,,,,,,,,,
,11,3,12,75,Zach Harrison,Falcons,Ohio State,,,,,4.47,4.45,,37.8,,10.78,,21.55,,53.17,42.21,38.42,,,,,
,12,3,14,77,Byron Young,Rams,Tennessee,,,,,,,,,,,,,,,44.17,,,,,19.17,38.67
,13,3,19,82,Yaya Diaby,Buccaneers,Louisville,,,,,,,,,,,,,,,,,,,5.5,,
,14,3,26,89,Kobie Turner,Rams,Wake Forest,,,,,,,,,,,,,,,,,,,,,
,15,4,7,109,Dylan Horton,Texans,Texas Christian,,,,,5.05,4.52,,28.6,,,,,49.34,53.06,46.34,,,,5.5,17.67,
,16,4,8,110,Adetomiwa Adebawore,Colts,Northwestern,74,251,,,4.74,4.59,,36.1,,,,,,,,62.17,186.33,,,,
,17,4,14,116,Colby Wooden,Packers,Auburn,,,,,,,,,,,,,,,,,,,,,
,18,4,22,124,Tavius Robinson,Ravens,Mississippi,,,,,,,,,,,,,,,,39.92,75.25,,,15,
,19,4,24,126,Isaiah McGuire,Browns,Missouri,,,,,,,,,,,,,,,,49.75,,,,,
,20,4,27,129,Viliami Fehoko,Cowboys,San Jose State,,,,,,,,,,,,,,,,,,,,,
,21,4,28,130,Tyler Lacy,Jaguars,Oklahoma State,,,,,,4.8,,27.3,,,,,,,,,,,,,
,22,5,2,137,K.J. Henry,Commanders,Clemson,,,,,4.84,4.38,,31.2,,,,,,,,,,,,,
,23,5,16,151,Mike Morris,Seahawks,Michigan,78,258,,,,,,,,,,,,,,,,,,,
,24,5,38,173,Robert Beal,49ers,Georgia,,,,,,,,,,,17.66,24.89,46.13,,47.23,,,,6.33,22.92,46.58
,25,6,2,179,Karl Brooks,Packers,Bowling Green,,,,,,,,,,12.71,15.3,,43.73,,43.68,,,,5.42,16.58,
,26,6,12,189,Ochaun Mathis,Rams,Nebraska,,,,,4.98,4.3,,34.6,,,18.73,,42.99,53.81,,42.75,130.5,,,21.5,40.17
,27,6,19,196,Jose Ramierez,Buccaneers,Eastern Michigan,,,,,,,,,,,16.2,,45.27,1:5.88,,,,,,16.42,
,28,6,34,211,Titus Leo,Colts,Wagner,,,,,,,,,,,,,,,,,,,,,
,29,6,36,213,Dante Stills,Cardinals,West Virginia,,,,,5.05,4.51,,30.6,,,,,,,,,,,,,
2023 AVERAGE,,,,,,,,75.40,242.60,76.00,10.00,4.82,4.48,,32.11,112.00,11.58,16.68,23.49,45.00,53.35,44.68,44.67,146.62,140.00,5.89,19.40,42.84
