NFL DRAFT 2020-2024 DEFENSIVE TACKLE SENIOR YEAR OF HIGH SCHOOL STATISTICS,,,,,,,,,,,,,,,,,,
YEAR,PICK,ROUND,PICK #,PLAYER,NAME,TEAM,SCHOOL,GP,SOLO,ASST,TKLS,T/G,TFL,GP,SACKS,YDL,S/G,HURS
2023,1,1,9,9,Jalen Carter,Eagles,Georgia,13,38,26,64,4.9,2,13,12,10,0.9,3
,2,1,19,19,Calijah Kancey,Buccaneers,Pittsburgh,14,,,110,7.9,,14,,,,
,3,1,26,26,Mazi Smith,Cowboys,Michigan,,,,,,,,,,,
,4,1,29,29,Bryan Bresee,Saints,Clemson,14,,,47,3.4,30.5,14,14,,1,
,5,2,18,49,Keeanu Benton,Steelers,Wisconsin,5,9,22,31,6.2,3,5,1,15,0.2, 
,6,2,22,53,Gervon Dexter,Bears,Florida,13,103,23,126,9.7,35,13,17,192,1.3,32
,7,3,1,64,Zacch Pickens,Bears,South Carolina,15,53,34,87,5.8,15,15,6,32,0.4, 
,8,3,7,70,Byron Young,Raiders,Alabama,15,93,32,125,8.3,29.5,15,17.5,90,1.2, 
,9,3,26,89,Kobie Turner,Rams,Wake Forest,11,47,23,70,6.4, ,11,1,8,0.1, 
,10,3,33,96,Brodric Martin,Lions,Western Kentucky,,,,,,,,,,,
,11,3,35,98,Siaki Ika,Browns,Baylor,7,55,34,89,12.7, ,7,14,45,2,4
,12,4,8,110,Adetomiwa Adebawore,Colts,Northwestern,6,22,12,34,5.7,9,6,2,4,0.3, 
,13,4,14,116,Colby Wooden,Packers,Auburn,13,37,17,54,4.2,15,13,8,38,0.6, 
,14,4,21,123,Cameron Young,Seahawks,Mississippi State,11,43, ,61,5.5, ,11,11, ,1, 
,15,5,6,141,Jaquelin Roy,Vikings,Louisiana State,13,,,96,7.4,,13,17,,1.3,
,16,6,17,194,Keondre Coburn,Chiefs,Texas,11,26,20,46,4.2,19,11,2.5,6,0.2,4
,17,6,23,200,Scott Matlock,Chargers,Boise State,10,30,27,57,5.7,13,10,5,25,0.5, 
,18,6,36,213,Dante Stills,Cardinals,West Virginia,14,,,81,5.8,31.5,14,11,,0.8,
,19,7,1,218,Travis Bell,Bears,Kennesaw State,8,54,26,80,10,16,8,9,38,1.1,3
,20,7,10,227,Raymond Vohasek,Jaguars,North Carolina,,,,,,,,,,,
,21,7,14,231,Nesta Jade Silvera,Raiders,Arizona State,13,46,61,107,8.2,31,13,12,39,0.9, 
,22,7,26,243,Jordon Riley,Giants,Oregon,10,22,38,60,6,15,10,6.5,32,0.7, 
,23,7,32,249,Moro Ojomo,Eagles,Texas,13,,,,,15,,,,,
,24,7,42,259,Desjuan Johnson,Rams,Toledo,,,,,,,,,,,
2020 - 2024 AVERAGES,,,,,,,,11.45,45.20,28.21,75.00,6.73,18.63,11.37,9.25,41.00,0.81,9.20
,,,,,,,,,,,,,,,,,,
2022,1,1,13,13,Jordan Davis,Eagles,Georgia,,,,,,,,,,,
,2,1,28,28,Devonte Wyatt,Packers,Georgia,,,,,,,,,,,
,3,2,1,33,Logan Hall,Buccaneers,Houston,11,38,16,54,4.9,10,11,2,6,0.2,16
,4,2,15,47,Phidarian Mathis,Commanders,Alabama,12,38,3,41,3.4,5,12,7,29,0.6,6
,5,3,12,76,Travis Jones,Ravens,Connecticut,10,30,31,61,6.1,6,10,7,42,0.7, 
,6,3,20,84,DeMarvin Leal,Steelers,Texas A&M,13,47,41,88,6.8,16,13,7,32,0.5,25
,7,3,31,95,Zachary Carter,Bengals,Florida,6,11,45,56,9.3,1,6,6.5,3,1.1,14
,8,4,3,108,Perrion Winfrey,Browns,Oklahoma,,,,,,,,,,,
