player_id,class_field,college_level_projection,uc_score,last,first,effective_school_name,college_enrolled,school_city,state,county,position_played,position_projected,height,weight,wingspan,forty,shuttle,vertical,track60m,track100m,track200m,broad,trackLJ,highJump,trackSP,discus,updated,head_coach,player_head_shot,camp_event_videos,hudl_video_link,college_offers,commit,max_speed_video,query_name,wiki_year,wiki_round,wiki_pick,wiki_team,wiki_pos,wiki_college
85031359,2022,Power 5,0.9274305555555556,Membou,Armand,Lees Summit North High School,,Lees Summit,MO,Jackson,OG,OG,75.0,298,78.5,5.12,5.04,24.8,,,,102.0,,,,,2021-12-08T21:08:28Z,Jamar Mozee,https://s3-us-west-2.amazonaws.com/media.ucreport.com/headshots/Armand_Membou.jpg,"[{'link': 'https://s3-us-west-2.amazonaws.com/media.ucreport.com/videos/Armand_MembouUASTL21.mp4', 'text': 'UC STL 5/16/2021'}]",https://www.hudl.com/profile/14791714/Armand-Membou,"Arkansas, Buffalo, Iowa, Iowa State, Kansas, Kansas State, Miami (Oh), Missouri, Nebraska, Oregon",Missouri,,Armand Membou,2025,1,7,New York Jets,T,Missouri
85019365,2022,Elite Power 5,0.9061674008810572,Banks Jr.,Kelvin,Summer Creek High School,,Houston,TX,Harris,OT,OT,77.0,313,83.0,5.38,4.81,20.0,,,,96.0,,,,,2022-05-03T15:29:33Z,Kenny Harrison,https://s3-us-west-2.amazonaws.com/media.ucreport.com/headshots/Kelvin_Banks.jpg,"[{'link': 'https://s3-us-west-2.amazonaws.com/media.ucreport.com/videos/Kelvin_BanksUC.mp4', 'text': 'ESPN OK 7/18/2020'}, {'link': 'https://s3-us-west-2.amazonaws.com/media.ucreport.com/videos/Kelvin_BanksDAL21.mp4', 'text': 'UA Dallas 3/14/2021'}]",https://www.hudl.com/profile/11699844/Kelvin-Banks-jr,"Alabama, Arizona State, Arkansas, Auburn, Baylor, Colorado, Florida, Florida State, Georgia Tech, Houston, Louisiana State, Maryland, Miami (Fl), Mississippi, Missouri, Oklahoma, Oklahoma State, Oregon, Southern California, Tcu, Tennessee, Texas, Texas A&M, Texas Tech, Utah",Texas,,Kelvin Banks Jr.,2025,1,9,New Orleans Saints,T,Texas
85009919,2022,Elite Power 5,0.9515418502202644,Booker,Tyler,IMG Academy,,Bradenton,CT,Manatee,DT,OT,77.1,328,83.5,5.41,4.9,26.5,,,,94.0,,,,,2021-10-15T18:39:58Z,Pepper Johnson,https://s3-us-west-2.amazonaws.com/media.ucreport.com/headshots/Tyler_Booker.jpg,"[{'link': 'https://s3-us-west-2.amazonaws.com/media.ucreport.com/videos/Tyler_BookerUA20.mp4', 'text': 'UA Orlando 3/1/2020'}, {'link': 'https://s3-us-west-2.amazonaws.com/media.ucreport.com/videos/Tyler_BookerIMG21.mp4', 'text': 'IMG Pro 3/4/2021'}, {'link': 'https://s3-us-west-2.amazonaws.com/media.ucreport.com/videos/Tyler_BookerATL21.mp4', 'text': 'UA ATL 3/21/2021'}, {'link': 'https://s3-us-west-2.amazonaws.com/media.ucreport.com/videos/Tyler_BookerSF50.mp4', 'text': 'Future 50 6/13/2021'}]",http://www.hudl.com/profile/11263059/Tyler-Booker,"Alabama, Arizona State, Auburn, Duke, Florida, Florida State, Georgia, Georgia Tech, Indiana, Louisiana State, Louisville, Miami (Fl), Michigan, Michigan State, Mississippi, Mississippi State, Notre Dame, Ohio State, Oklahoma, Oregon, Penn State, Rutgers, Southern California, Tennessee, Texas, Texas A&M, Vanderbilt, Virginia, Virginia Tech",Alabama,,Tyler Booker,2025,1,12,Dallas Cowboys,G,Alabama
85019325,2020,Group of 5,,Zabel,Grey,T. F. Riggs High School,,Pierre,SD,Hughes,OT,OT,77.0,240,,,,,,,,,,,,,2019-07-17T12:01:04Z,Steve Steele,,[],https://www.hudl.com/profile/8299651/Grey-Zabel,"North Dakota State, South Dakota, South Dakota State",North Dakota State,,Grey Zabel,2025,1,18,Seattle Seahawks,G,North Dakota State
85011555,2022,Power 5,0.9159722222222222,Conerly Jr.,Josh,Rainier Beach High School,,Seattle,WA,King,OT,OG,76.0,260,82.5,5.33,4.87,25.5,,,,,,,,,2021-11-29T16:58:05Z,Corey Sampson,https://s3-us-west-2.amazonaws.com/media.ucreport.com/headshots/Josh_ConerlyJr.JPG,"[{'link': 'https://s3-us-west-2.amazonaws.com/media.ucreport.com/videos/Joshua_ConerlyNike.mp4', 'text': 'Nike OR 10/25/2020'}]",https://www.hudl.com/profile/11695341/Josh-Conerly,"Alabama, Arizona, Arizona State, Auburn, Baylor, Boise State, Byu, Cal, Colorado, Florida Atlantic, Indiana, Louisiana State, Miami (Fl), Michigan, Nebraska, Nevada, Northwestern, Oklahoma, Oregon, Oregon State, Penn State, Southern California, Stanford, Tennessee, Texas, Ucla, Utah, Vanderbilt, Washington, Washington State",Oregon,,Josh Conerly Jr.,2025,1,29,Washington Commanders,T,Oregon
85014125,2021,Power 5,0.6361111111111111,Simmons,Josh,Madison High School,Ohio State,San Diego,CA,San Diego,OG,OG,75.0,331,80.0,5.73,5.699,20.3,,,,,,,,,2023-05-01T13:21:59Z,Rick Jackson,https://s3-us-west-2.amazonaws.com/media.ucreport.com/headshots/Joshua_Simmons.jpg,"[{'link': 'https://s3-us-west-2.amazonaws.com/media.ucreport.com/videos/Joshua_SimmonsLA.mp4', 'text': 'UA LA 3/3/2019'}]",http://www.hudl.com/profile/10293032/Josh-Simmons,", Arizona, Arizona State, Arkansas, Boise State, Colorado, Duke, Georgia, Illinois, Kentucky, Miami (Fl), Michigan, Michigan State, Nebraska, Oklahoma, Oklahoma State, Oregon, Oregon State, Penn State, San Diego State, Southern California, Syracuse, Ucla, Utah, Utah State, Washington, Washington State",San Diego State,,Josh Simmons,2025,1,32,Kansas City Chiefs,T,Ohio State
85028484,2022,Power 5,,Savaiinaea,Jonah,Saint Louis School,,Honolulu,HI,Honolulu,OG,OG,76.0,330,,,,,,,,,,,511.5,,2021-12-07T18:58:26Z,Ron Lee,https://s3-us-west-2.amazonaws.com/media.ucreport.com/headshots/Jonah_Savaiinaea.jpg,[],https://www.hudl.com/profile/11284243/Jonah-Savaiinaea,", Arizona, Arizona State, Central Florida, Hawaii, San Diego State, Syracuse, Unlv",Arizona,,Jonah Savaiinaea,2025,2,37,Miami Dolphins,G,Arizona
85020171,2020,Group of 5,,Ersery,Aireontae,Ruskin High School,,Kansas City,MO,Jackson,OT,OT,76.0,270,,,,,,,,,,,,,2023-05-12T21:58:05Z,Williams Perkins,,[],http://www.hudl.com/profile/9720677/Aireontae-Ersery,"Ball State, Eastern Kentucky, Kansas, Kansas State, Kent State, Minnesota, Northern Iowa, South Dakota",Minnesota,,Aireontae Ersery,2025,2,48,Houston Texans,T,Minnesota
85029728,2021,Power 5,,Belton,Anthony,Georgia Military College,,,GA,,OT,OT,78.0,320,,,,,,,,,,,,,2020-11-30T19:43:39Z,,,[],https://www.hudl.com/profile/4701337/Anthony-Belton,"Alcorn State, East Carolina, Florida Atlantic, Houston, Jackson State, Nc State, North Texas, South Carolina, Tcu, UAB, West Virginia",NC State,,Anthony Belton,2025,2,54,Green Bay Packers,T,NC State
85013301,2020,Group of 5,,Trapilo,Ozzy,Boston College High School,,Boston,MA,Suffolk,OT,OT,80.0,266,,,,,,,,,,,,,2019-07-18T15:47:52Z,Jonathan Brillo,,[],https://a.hudl.com/profile/9879583/Ozzy-Trapilo,"Connecticut, Dartmouth, Duke, Georgia Tech, Louisville, Massachusetts, Michigan, Nebraska, Northwestern, Princeton, Rutgers, Syracuse, Vanderbilt, Virginia, Wake Forest, Yale",Boston College,,Ozzy Trapilo,2025,2,56,Chicago Bears,T,Boston College
85001931,2020,Power 5,0.9594713656387666,Ratledge,Tate,Darlington School,,Rome,GA,Floyd,OT,OT,78.5,322,80.0,5.3,4.68,25.1,,,,,,,,,2021-06-09T17:26:08Z,Tommy Atha,https://s3-us-west-2.amazonaws.com/media.ucreport.com/headshots/tate_rat.jpg,[],http://www.hudl.com/profile/4581451/tate-ratledge,"Alabama, Auburn, Florida, Georgia, Louisiana State, Michigan, Mississippi, Mississippi State, Penn State, South Carolina, Tennessee, West Virginia",Georgia,,Tate Ratledge,2025,2,57,Detroit Lions,G,Georgia
85021045,2021,Power 5,,Fairchild,Dylan,West Forsyth High School,,Cumming,GA,Forsyth,OT,OT,76.0,275,,,,,,,,,,,,,2021-01-12T17:56:40Z,David Svehla,https://s3-us-west-2.amazonaws.com/media.ucreport.com/headshots/Dylan_Fairchild.jpg,[],https://www.hudl.com/profile/12090351/Dylan-Fairchild,"Alabama, App State, Arkansas, Auburn, East Carolina, Florida State, Georgia, Georgia Tech, Louisiana State, Louisville, Minnesota, Mississippi State, North Carolina, Penn State, South Carolina, Tennessee, Texas A&M, Virginia",Georgia,,Dylan Fairchild,2025,3,81,Cincinnati Bengals,G,Georgia
