NFL DRAFT 2020-2024 SAFETY SENIOR YEAR OF HIGH SCHOOL STATISTICS,,,,,,,,,,,,,,,
YEAR,PICK,ROUND,PICK #,PLAYER,NAME,TEAM,SCHOOL,GP,SOLO,ASST,TKLS,T/G,TFL,INT,PD
,3,1,32,32,Lewis Cine,Minnesota Vikings,Georgia,10,46,39,85,8.5,13,2,0
,4,2,5,37,Jalen Pitre,Houston Texans,Baylor,12,59,24,83,6.9,7,6,1
,5,2,16,48,Jaquan Brisker,Chicago Bears,Penn State,,,,,,,,
,6,2,30,62,Bryan Cook,Kansas City Chiefs,Cincinnati,9,,,35,3.9,,3,
,7,3,15,79,JT Woods,Los Angeles Chargers,Baylor,12,9,24,33,2.8,1,0,2
,8,3,32,96,Nick Cross,Indianappolis Colts,Maryland,,,,94,,,4,
,9,3,33,97,Kerby Joseph,Detroit Lions,Illinois,,,,,,7,4,
,10,4,8,113,Percy Butler,Washington Commanders,Louisiana-Lafayette,,62,,91,,3,,8
,11,4,9,114,Dane Belton,New York Giants,Iowa,14,41,28,69,4.9,0,4,9
,12,5,9,152,Delarin Turner-Yell,Denver Broncos,Oklahoma,,,,,,,,
,13,5,23,166,Tycen Anderson,Cincinnati Bengals,Toledo,,,,40,,,5,
,14,6,25,204,Theo Jackson,Tennessee Titans,Tennessee,,,,,,,5,
,15,6,32,211,Quentin Lake,Los Angeles Rams,UCLA,12,23,5,28,2.3,2,2,9
,16,7,7,228,Tariq Carpenter,Green Bay Packers,Georgia Tech,9,44,10,54,6,3,1,1
,17,7,32,253,Russ Yeast,Los Angeles Rams,Kansas State,,,,,,,,
,18,7,33,254,Elijah Hicks,Chicago Bears,California,14,20,20,40,2.9,4,5,1
,19,7,38,259,Nazeeh Johnson,Kansas City Chiefs,Marshall,,,,86,,,4,10
2022 AVERAGE,,,,,,,,11.30,38.80,21.11,61.57,4.99,4.27,3.20,3.73
,,,,,,,,,,,,,,,
2021,1,2,4,36,Jevon Hollan,Miami Dolphins,Oregon,12,34,,34,2.8,1,5,4
,2,2,8,40,Richie Grant,Atlanta Falcons,Central Florida,,37,,,,,4,
,3,2,11,43,Trevon Moehrig,Las Vegas Raiders,TCU,,,,,,,,
,4,3,1,65,Andre Cisco,Jacksonville Jaguars,Syracuse,8,11,4,15,1.9,0,1,4
,5,4,20,125,Camryn Bynum,Minnesota Vikings,California,15,33,37,70,4.7,2,3,9
,6,4,38,143,Tyree Gillespie,Las Vegas Raiders,Missouri,11,29,11,40,3.6,0,2,0
,7,5,2,146,Jamien Sherwood,New York Jets,Auburn,,,,71,,,3,
,8,5,8,152,Caden Sterns,Denver Broncos,Texas,,37,,90,,,4,6
,9,5,10,154,Michael Carter,New York Jets,Duke,,,,48,,7,2,
,10,5,19,163,Darrick Forrest,Washington Commanders,Cincinnati,9,20,34,54,6,2,4,3
,11,5,20,164,Jamar Johnson,Denver Broncos,Indiana,,,,62,,6,6,
,12,5,21,165,Shawn Davis,Indianappolis Colts,Florida,,,,,,,,
,13,5,25,169,Richard LeCounte,Cleveland Browns,Georgia,13,77,23,100,7.7,11,2,7
,14,5,36,180,Talanoa Hufanga,San Francisco 49ers,USC,8,34,10,44,5.5,7,4,0
,15,6,2,186,Hamsah Nasirildeen,New York Jets,FSU,12,108,0,108,9,5,3,0
,16,6,4,188,Joshua Bledsoe,New England Patriots,Missouri,11,26,0,26,2.4,2,2,1
,17,6,28,212,Damar Hamlin,Buffalo Bills,Pittsburg,14,0,0,83,5.9,,2,0
,18,6,31,215,Brady Breeze,Tennessee Titans,Oregon,,31,,58,,,1,
,19,6,40,224,JaCoby Stevens,Philadelphia Eagles,LSU,14,50,34,84,6,8.5,6,6
,20,7,13,241,Mark Webb,Los Angeles Chargers,Georgia,,,,,,,,
,21,7,16,243,James Wiggins,Arizona Cardinals,Cincinnati,13,27,20,47,3.6,0,2,4
2021 AVERAGE,,,,,,,,11.67,36.93,15.73,60.82,4.93,3.96,3.11,3.38
,,,,,,,,,,,,,,,
2020,1,2,4,36,Xavier McKinney,New York Giants,Alabama,15,60,22,82.0,5.5,8,7,9
,2,2,5,37,Kyle Dugger,New England Patriots,Lenoir-Rhyne,,,,,,,,
,3,2,12,44,Grant Delpit,Cleveland Browns,LSU,10,27,20,47.0,4.7,1,4,6
