NFL DRAFT 2020-2024 WIDE RECEIVER SENIOR YEAR OF HIGH SCHOOL STATISTICS,,,,,,,,,,,,,,,,,,,,,,
,PICK,ROUND,PICK #,PLAYER,NAME,TEAM,SCHOOL,GP,Rec,Yds,Avg,Y/G,Lng,TD,GP,Car,Yds,Avg,Y/G,Lng,100+,TD
,28,7,2,219,Antoine Green,Lions,North Carolina,,,,,,,,,,,,,,,
,29,7,11,228,Cotton Dowell,Titans,Tennessee-Martin,,44,799,18.15909091,,,5,,,,,,,,
,30,7,27,244,Jalen Brooks,Cowboys,South Carolina,,44,771,17.52272727,,,9,,,,,,,,
,31,7,36,253,Ronnie Bell,49ers,Michigan,,89,1605,18.03370787,,,21,,15,163,,,,,3
,32,7,39,256,Grant DuBose,Packers,Charlotte,,,,,,,,,,,,,,,
2020 - 2024 AVERAGES,,,,,,,,11.70,55.20,1069.04,20.05,87.63,71.88,13.19,11.00,30.29,519.67,8.62,19.76,50.25,0.40,8.00
,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,8,8,Drake London,Falcons,USC,,62,1089,17.56451613,,,12,,,,,,,,
,2,1,10,10,Garrett Wilson,Jets,Ohio State,,,1151,,,,19,,,,,,,,
,3,1,11,11,Chris Olave,Saints,Ohio State,,93,1764,18.96774194,,,26,,,,,,,,
,4,1,12,12,Jameson Williams,Lions,Alabama,,68,1626,23.91176471,,,22,,,,,,,,
,5,1,16,16,Jahan Dotson,Commanders,Penn State,,62,889,14.33870968,,,15,,,,,,,,
,6,1,18,18,Treylon Burks,Titans,Arkansas,,45,1090,24.22222222,,,12,,,,,,,,
,7,2,2,34,Christian Watson,Packers,North Dakota State,13,23,393,17.1,30.2,48,8,,,,,,,,
,8,2,11,43,Wan'Dale Robinson,Giants,Kentucky,11,206,1973,9.6,179.4,87,30,,,,,,,,
,9,2,12,44,John Metchie,Texans,Alabama,7,27,616,22.8,88,76,11,7,8,67,8.4,9.6,48,0,0
,10,2,18,50,Tyquan Thornton,Patriots,Baylor,,,1100,,,,10,,,,,,,,
,11,2,20,52,George Pickens,Steelers,Georgia,5,25,654,26.2,130.8,88,7,,,,,,,,
,12,2,21,53,Alec Pierce,Colts,Cincinnati,,,,,,,,,,,,,,,
,13,2,22,54,Skyy Moore,Chiefs,Western Michigan,,,,,,,,,,,,,,,
,14,3,7,71,Velus Jones,Bears,Tennessee,,48,945,19.7,,,10,,,,,,,,
,15,3,24,88,Jalen Tolbert,Cowboys,South Alabama,,37,696,,,,9,,,,,,,,
,16,3,35,99,David Bell,Browns,Purdue,13,84,1477,17.6,113.6,80,22,,,,,,,,
,17,3,41,105,Danny Gray,49ers,Southern Methodist,,,,,,,,,,,,,,,
,18,4,20,125,Erik Ezukanma,Dolphins,Texas Tech,9,37,687,18.6,76.3,88,9,,,,,,,,
,19,4,27,132,Romeo Doubs,Packers,Nevada,9,93,1757,18.9,195.2,,28,,,,,,,,
,20,4,33,138,Calvin Austin,Steelers,Memphis,,,,,,,,,,,,,,,
,21,5,5,148,Khalil Shakir,Bills,Boise State,11,17,264,15.5,24,73,2,11,102,906,8.9,82.4,17,4,7
,22,5,19,162,Montrell Washington,Broncos,Samford,11,81,930,11.5,84.5,49,9,11,69,745,10.8,67.7,71,3,7
,23,5,20,163,Kyle Philips,Titans,UCLA,12,59,1318,22.3,109.8,80,10,,,,,,,,
,24,6,12,191,Jalen Nailor,Vikings,Michigan State,15,41,807,19.7,53.8,68,12,,,,,,,,
,25,6,23,202,Michael Woods,Browns,Oklahoma,10,51,1018,20,101.8,74,15,,,,,,,,
,26,7,8,229,Bo Melton,Seahawks,Rutgers,,51,766,,,,9,,,451,,,,,7
,27,7,12,233,Dareke Young,Seahawks,Lenoir-Rhyne,9,31,386,12.5,42.9,36,5,,,,,,,,
,28,7,37,258,Samori Toure,Packers,Nebraska,,,,,,,,,,,,,,,
2020 - 2024 AVERAGES,,,,,,,,10.38,59.10,1017.22,18.47,94.64,70.58,13.57,9.67,59.67,542.25,9.37,53.23,45.33,2.33,5.25
,,,,,,,,,,,,,,,,,,,,,,
NFL DRAFT 2020-2024 WIDE RECEIVER SENIOR YEAR OF HIGH SCHOOL STATISTICS,,,,,,,,,,,,,,,,,,,,,,
2021,1,1,5,5,Ja'Marr Chase,Bengals,Louisiana State,10,61,1011,16.6,101.1,,13,,,,,,,,
,2,1,6,6,Jaylen Waddle,Dolphins,Alabama,,,,,,,,,,,,,,,
,3,1,10,10,DeVonta Smith,Eagles,Alabama,,,,,,,,,,,,,,,
,4,1,20,20,Kadarius Toney,Giants,Florida,,,,,,,,,,894,,,,,15
,5,1,27,27,Rashod Bateman,Ravens,Minnesota,13,83,1539,18.5,118.4,87,21,,,,,,,,
,6,2,2,34,Elijah Moore,Jets,Mississippi,,,,,,,,,,,,,,,
,7,2,17,49,Rondale Moore,Cardinals,Purdue,10,38,464,12.2,46.4,64,0,10,87,688,7.9,68.8,72,3,0
,8,2,24,56,D'Wayne Eskridge,Seahawks,Western Michigan,9,15,170,11.3,18.9,32,0,9,103,1020,9.9,113.3,83,6,16
,9,2,25,57,Tutu Atwell,Rams,Louisville,,,,,,,,,,,,,,,
,10,2,27,59,Terrace Marshall,Panthers,Louisiana State,,,,,,,,,,,,,,,
,11,3,13,77,Josh Palmer,Chargers,Tennessee,14,32,506,15.8,36.1,,8,,,,,,,,
,12,3,18,82,Dyami Brown,Team,North Carolina,11,41,631,15.4,57.4,74,10,11,37,212,5.7,19.3,28,0,5
,13,3,21,85,Amari Rodgers,Packers,Clemson,8,34,1058,31.1,132.3,82,17,,,,,,,,
,14,3,25,89,Nico Collins,Texans,Michigan,16,60,1103,18.4,68.9,,16,,,,,,,,
,15,3,27,91,Anthony Schwartz,Browns,Auburn,13,25,507,20.3,39,83,7,,,,,,,,
,16,4,4,109,Dez Fitzpatrick,Titans,Louisville,,60,"1,317",,,,23,,,,,,,,
,17,4,7,112,Amon-Ra St. Brown,Lions,USC,12,72,1320,18.3,110,77,20,,,,,,,,
,18,4,24,129,Jaelon Darden,Buccaneers,North Texas,,,,,,,,,123,869,,,,,10
,19,4,26,131,Tylan Wallace,Ravens,Oklahoma State,10,47,815,17.3,81.5,9,11,,,,,,,,
,20,5,13,157,Ihmir Smith-Marsette,Vikings,Iowa,12,38,773,20.3,64.4,94,13,,,,,,,,
,21,5,35,179,Simi Fehoko,Cowboys,Stanford,11,59,1495,25.3,135.9,85,16,,,,,,,,
,22,5,37,181,Cornell Powell,Chiefs,Clemson,15,65,1557,24,103.8,73,25,15,23,249,10.8,16.6,59,,5
,23,6,3,187,Frank Darby,Falcons,Arizona State,11,35,957,27.3,87,85,10,,,,,,,,
,24,6,19,203,Marquez Stevenson,Bills,Houston,8,17,250,14.7,31.3,57,3,,,,,,,,
,25,6,20,204,Shi Smith,Panthers,South Carolina,,47,609,,,,10,,,,,,,,
,26,6,21,205,Racey McMath,Titans,Louisiana State,,,,,,,,,,,,,,,
,27,6,25,209,Jalen Camp,Jaguars,Georgia Tech,13,47,819,17.4,63,80,15,15,,,,,,,
,28,6,35,219,Seth Williams,Broncos,Auburn,,,,,,,,,,,,,,,
,29,6,37,221,Dazz Newsome,Bears,North Carolina,,,413,,,,,,,1684,,,,,
,30,7,1,229,Mike Strachan,Colts,Charleston,,,,,,,,,,,,,,,
,31,7,15,242,Tre Nixon,Patriots,Central Florida,14,74,1224,16.5,87.4,80,18,,,,,,,,
,32,7,22,249,Ben Skowronek,Rams,Notre Dame,12,53,805,15.2,67.1,49,9,,,,,,,,
,33,7,28,255,Kawaan Baker,Saints,South Alabama,10,38,937,24.7,93.7,74,15,,,,,,,,
,34,7,31,258,Dax Milne,Team,Brigham Young,9,23,408,17.7,45.3,,8,,,,,,,,
2020 - 2024 AVERAGES,,,,,,,,11.48,46.26,862.00,18.97,75.66,69.71,12.52,12.00,74.60,802.29,8.58,54.50,60.50,3.00,8.50
,,,,,,,,,,,,,,,,,,,,,,
2020,1,1,12,12,Henry Ruggs,Raiders,Alabama,,,639,,,,9,,,446,,,,,7
,2,1,15,15,Jerry Jeudy,Broncos,Alabama,10,15,196,13.1,19.6,38,3,,,,,,,,
,3,1,17,17,CeeDee Lamb,Cowboys,Oklahoma,15,98,2032,20.7,135.5,93,33,,,,,,,,
,4,1,21,21,Jalen Reagor,Eagles,Texas Christian,10,50,967,19.3,96.7,93,14,,,,,,,,
,5,1,22,22,Justin Jefferson,Vikings,Louisiana State,,,,,,,,,,,,,,,
,6,1,25,25,Brandon Aiyuk,49ers,Arizona State,,,,,,,,,,,,,,,
,7,2,1,33,Tee Higgins,Bengals,Clemson,13,46,841,18.3,64.7,,16,,,,,,,,
,8,2,2,34,Michael Pittman,Colts,USC,12,81,1990,24.6,165.8,99,24,,,,,,,,
,9,2,10,42,Laviska Shenault,Jaguars,Colorado,14,40,721,18,51.5,75,9,,,,,,,,
,10,2,14,46,KJ Hamler,Broncos,Penn State,,,,,,,,,,,,,,,
,11,2,17,49,Chase Claypool,Steelers,Notre Dame,,28,1473,52.60714286,,,18,,47,567,,,,,8
,12,2,25,57,Van Jefferson,Rams,Florida,12,54,1038,19.2,86.5,90,12,,,,,,,,
,13,2,27,59,Denzel Mims,Jets,Baylor,,31,721,23.25806452,,,10,,,,,,,,
,15,3,16,80,Lynn Bowden,Raiders,Kentucky,,,,,,,,,,256,,,,,5
,16,3,17,81,Bryan Edwards,Raiders,South Carolina,,53,969,,,,9,,,,,,,,
,17,3,28,92,Devin Duvernay,Ravens,Texas,9,50,1064,21.3,118.2,,16,,,,,,,,
,18,4,22,128,Gabriel Davis,Bills,Central Florida,13,61,1308,21.4,100.6,93,15,,,,,,,,
,19,4,36,142,Antonio Gandy-Golden,Redskins,Liberty,10,65,1083,16.7,108.3,,4,,,,,,,,
,20,5,5,151,Joe Reed,Chargers,Virginia,,,,,,,,11,157,1002,6.38,91.1,,0,13
,21,5,15,161,Tyler Johnson,Buccaneers,Minnesota,,,,,,,,,,1100,,,,,20
,22,5,19,165,Collin Johnson,Jaguars,Texas,,,,,,,,,,,,,,,
,23,5,20,166,Quintez Cephus,Lions,Wisconsin,11,40,844,21.1,76.7,87,12,,,,,,,,
,24,5,22,168,John Hightower,Eagles,Boise State,,,,,,,,,,,,,,,
,25,5,25,171,Isaiah Coulter,Texans,Rhode Island,,,,,,,,,,,,,,,
,26,5,27,173,Darnell Mooney,Bears,Tulane,,37,697,,,,9,,,,,,,,
,27,5,30,176,K.J. Osborn,Vikings,Miami (FL),11,21,379,18,34.5,53,7,,,,,,,,
,28,6,8,187,Donovan Peoples-Jones,Browns,Michigan,,60,1071,17.8,,,17,,,,,,,,
,29,6,21,200,Quez Watkins,Eagles,Southern Mississippi,,44,847,19.25,,,12,,,,,,,,
,30,6,22,201,James Proche,Ravens,Southern Methodist,8,18,335,18.6,41.9,79,1,,,,,,,,
,31,6,28,207,Isaiah Hodgins,Bills,Oregon State,11,94,1521,16.2,138.3,75,21,,,,,,,,
,32,6,33,212,Dezmon Patmon,Colts,Washington State,9,53,669,12.6,74.3,45,5,,,,,,,,
,33,6,35,214,Freddie Swain,Seahawks,Florida,8,43,648,15.1,81,,7,,,,,,,,
,34,7,3,217,Jauan Jennings,49ers,Tennessee,,,,,,,,13,123,877,7.1,67.5,79,1,17
,35,7,6,220,K.J. Hill,Chargers,Ohio State,,58,1023,17.63793103,,,11,,,,,,,,
,36,7,32,246,Malcolm Perry,Dolphins,Navy,,,,,,,,11,172,1528,8.9,138.9,0,1,9
,37,7,38,252,Tyrie Cleveland,Broncos,Florida,12,46,982,21.3,81.8,79,14,,,,,,,,
2020 - 2024 AVERAGES,,,,,,,,11.06,49.42,962.32,20.28,86.82,76.85,12.32,11.67,124.75,825.14,7.46,99.17,39.50,0.67,11.29
,,,,,,,,,,,,,,,,,,,,,,
WIDE REICEVER POSITION AVERAGES,,,,,,,,GP,Rec,Yds,Avg,Y/G,Lng,TD,GP,Car,Yds,Avg,Y/G,Lng,100+,TD
2020 - 2024 AVERAGES,,,,,,,,11.24,50.87,944.94,19.22,83.61,68.14,12.22,11.00,56.69,568.69,9.24,45.32,44.66,1.69,7.30
